import_id,date,ticker,type,quantity,price_per_share,total_amount,currency,fx_rate
2,13/07/2020 15:51:41,ABBV,BUY,0.10088781,99.12,10,USD,0.0032112
4,23/07/2020 18:12:25,ABBV,BUY,3.97391481,98.14,390,USD,0.003349
5,23/07/2020 18:13:22,PAYX,BUY,5.4659743,73.18,400,USD,0.003348
6,23/07/2020 18:14:05,JNJ,BUY,2.6652452,150.08,400,USD,0.0033486
7,23/07/2020 18:14:37,KO,BUY,8.29531314,48.22,400,USD,0.0033485
9,23/07/2020 18:19:06,HAS,BUY,5.04032258,79.36,400,USD,0.0033507
10,23/07/2020 18:19:29,MCD,BUY,2.03655618,196.41,400,USD,0.0033506
11,23/07/2020 18:19:57,MO,BUY,9.65950253,41.41,400,USD,0.003349
13,23/07/2020 18:23:47,T,BUY,13.38688085,29.88,400,USD,0.0033487
14,23/07/2020 18:23:59,T,BUY,2.17536813,29.88,65,USD,0.0033509
15,23/07/2020 18:39:01,T,SELL,15.56224898,29.79,463.6,USD,0.0033472
16,23/07/2020 18:40:07,MSFT,BUY,2.28179981,202.91,463,USD,0.0033465
19,24/07/2020 13:31:52,PFE,BUY,5.25348043,38.07,200,USD,0.0033526
20,24/07/2020 13:49:49,AVGO,BUY,1.30263457,307.07,400,USD,0.0033527
21,24/07/2020 13:51:50,T,BUY,13.28903654,30.1,400,USD,0.0033523
22,24/07/2020 13:54:17,O,BUY,3.49650349,57.2,200,USD,0.0033513
24,27/07/2020 13:35:54,JPM,BUY,4.13693246,96.69,400,USD,0.0033948
25,27/07/2020 13:36:17,BEN,BUY,19.49317738,20.52,400,USD,0.0033947
26,27/07/2020 13:36:35,O,BUY,3.52298749,56.77,200,USD,0.0033946
27,27/07/2020 13:36:51,SPG,BUY,5.07614213,59.1,300,USD,0.0033927
28,27/07/2020 13:37:11,HON,BUY,2.69305864,148.53,400,USD,0.0033948
29,27/07/2020 13:37:35,TSLA,BUY,0.2803437,1426.82,400,USD,0.0033927
30,27/07/2020 13:41:30,HAS,BUY,0.48638132,71.96,35,USD,0.0033953
31,27/07/2020 13:41:54,T,BUY,0.34036759,29.38,10,USD,0.0033974
32,27/07/2020 13:42:06,ABBV,BUY,0.0724038,96.68,7,USD,0.0033973
33,27/07/2020 13:42:23,PAYX,BUY,0.09697977,72.18,7,USD,0.003396
34,27/07/2020 13:42:40,PFE,BUY,0.10686615,37.43,4,USD,0.0033967
35,27/07/2020 13:43:06,JNJ,BUY,0.05432199,147.27,8,USD,0.003398
37,29/07/2020 13:33:59,INTC,BUY,4.06834825,49.16,200,USD,0.0033977
38,30/07/2020 14:17:29,BLK,BUY,0.3536443,565.54,200,USD,0.0034122
39,03/08/2020 13:34:29,GOOGL,BUY,0.13371835,1492.54,199.58,USD,0.0033819
40,03/08/2020 13:34:39,T,SELL,13.62940413,29.72,405.07,USD,0.0033817
41,03/08/2020 13:35:43,GOOGL,BUY,0.13460037,1485.88,200,USD,0.0033819
42,03/08/2020 13:36:07,MSFT,BUY,0.95763068,214.07,205,USD,0.0033815
44,07/08/2020 13:32:50,SCHW,BUY,6.04229607,33.1,200,USD,0.0033938
45,07/08/2020 13:32:51,BAC,BUY,7.89889415,25.32,200,USD,0.0033935
46,07/08/2020 13:32:58,KO,BUY,0.16916895,47.29,8,USD,0.0033937
47,07/08/2020 13:33:06,ABBV,BUY,0.16175994,92.73,15,USD,0.0033954
49,12/08/2020 13:31:38,PRU,BUY,4.14880376,72.31,300,USD,0.0034194
50,13/08/2020 23:29:01,,CUSTODY_FEE,,,-0.06,USD,0.0034225
51,17/08/2020 04:29:31,ABBV,DIVIDEND,,,0.1,USD,0.0034235
